,age,height_cm,weight_kg,overall,potential,value_eur,wage_eur,international_reputation,weak_foot,skill_moves,release_clause_eur,team_jersey_number,contract_valid_until,nation_jersey_number,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
1,0.8,0.6666666666666666,0.5952380952380952,1.0,0.9444444444444444,0.5542065825666319,0.8614072494669509,1.0,0.75,1.0,0.4940459408336195,0.061224489795918366,0.42857142857142855,0.20689655172413793,0.8941176470588236,1.0,0.9534883720930233,0.8888888888888888,0.9651162790697675,0.9230769230769231,0.8690476190476191,0.8313253012048193,0.8125,0.9642857142857143,0.9054054054054054,0.9382716049382716,0.8783783783783784,1.0,0.6666666666666666,1.0,1.0,0.8441558441558441,0.7213114754098361,1.0,0.6025641025641025,0.25,1.0,0.8441558441558441,0.9375,1.0,0.2413793103448276,0.27710843373493976,0.1951219512195122,0.056818181818181816,0.1,0.14606741573033707,0.13636363636363635,0.0898876404494382
2,0.45,0.3333333333333333,0.23809523809523808,0.975,0.9166666666666666,1.0,0.6162046908315565,1.0,1.0,1.0,1.0,0.09183673469387756,0.42857142857142855,0.3103448275862069,0.9294117647058824,0.9186046511627907,0.6395348837209303,0.9382716049382716,0.9651162790697675,1.0,0.9523809523809523,0.963855421686747,0.8625,1.0,0.972972972972973,0.9135802469135802,1.0,0.9215686274509803,0.84,0.7857142857142857,0.47692307692307695,0.7922077922077922,0.2459016393442623,0.896551724137931,0.44871794871794873,0.3333333333333333,0.9120879120879121,0.948051948051948,1.0,0.9861111111111112,0.22988505747126436,0.20481927710843373,0.25609756097560976,0.07954545454545454,0.07777777777777778,0.14606741573033707,0.14772727272727273,0.0898876404494382
3,0.4,0.6944444444444444,0.6904761904761905,0.95,0.9444444444444444,0.7344209428056531,0.26439232409381663,0.5,0.5,0.0,0.8436514812099838,0.12244897959183673,0.5714285714285714,0.0,0.058823529411764705,0.03488372093023256,0.09302325581395349,0.3950617283950617,0.10465116279069768,0.07692307692307693,0.05952380952380952,0.08433734939759036,0.35,0.2261904761904762,0.28378378378378377,0.5555555555555556,0.6081081081081081,0.8431372549019608,0.37333333333333335,0.4857142857142857,0.7384615384615385,0.2727272727272727,0.7213114754098361,0.06896551724137931,0.23076923076923078,0.13095238095238096,0.07692307692307693,0.6233766233766234,0.0125,0.625,0.22988505747126436,0.03614457831325301,0.12195121951219512,0.9659090909090909,1.0,0.8539325842696629,1.0,0.9662921348314607
4,0.5,0.3333333333333333,0.38095238095238093,0.95,0.8888888888888888,0.8529830219102722,1.0,0.75,0.75,0.75,0.945149863899896,0.061224489795918366,0.7142857142857143,0.3103448275862069,0.8588235294117647,0.8837209302325582,0.627906976744186,0.9629629629629629,0.9186046511627907,0.989010989010989,0.8928571428571429,0.8674698795180723,0.8875,0.9880952380952381,0.972972972972973,0.9012345679012346,0.9864864864864865,0.8823529411764706,0.9733333333333334,0.8142857142857143,0.4,0.8311688311688312,0.47540983606557374,0.8505747126436781,0.48717948717948717,0.39285714285714285,0.9120879120879121,0.935064935064935,0.975,0.9444444444444444,0.3103448275862069,0.21686746987951808,0.17073170731707318,0.10227272727272728,0.1111111111111111,0.0449438202247191,0.06818181818181818,0.056179775280898875
5,0.5,0.5,0.2857142857142857,0.95,0.8888888888888888,0.8529830219102722,0.7867803837953091,0.75,1.0,0.75,0.8528786069090667,0.16326530612244897,0.5714285714285714,0.20689655172413793,1.0,0.8604651162790697,0.5581395348837209,1.0,0.9069767441860465,0.8901098901098901,0.9166666666666666,0.9156626506024096,0.9875,0.9523809523809523,0.7432432432432432,0.7530864197530864,0.7567567567567568,0.9019607843137255,0.7333333333333333,0.9428571428571428,0.5076923076923077,0.8961038961038961,0.6557377049180327,0.9655172413793104,0.7692307692307693,0.6309523809523809,0.9230769230769231,1.0,0.8625,0.9444444444444444,0.7011494252873564,0.5903614457831325,0.524390243902439,0.14772727272727273,0.12222222222222222,0.033707865168539325,0.09090909090909091,0.11235955056179775
6,0.45,0.6666666666666666,0.6428571428571429,0.925,0.9444444444444444,0.6395712795219577,0.5309168443496801,0.5,0.75,0.0,0.7344638271041691,0.0,0.42857142857142855,0.7241379310344828,0.11764705882352941,0.06976744186046512,0.046511627906976744,0.6172839506172839,0.11627906976744186,0.17582417582417584,0.11904761904761904,0.060240963855421686,0.6375,0.2261904761904762,0.21621621621621623,0.43209876543209874,0.20270270270270271,0.803921568627451,0.29333333333333333,0.5857142857142857,0.7538461538461538,0.19480519480519481,0.7213114754098361,0.04597701149425287,0.34615384615384615,0.16666666666666666,0.07692307692307693,0.6883116883116883,0.1875,0.6527777777777778,0.20689655172413793,0.04819277108433735,0.024390243902439025,0.9772727272727273,0.9222222222222223,0.9662921348314607,0.9772727272727273,0.9775280898876404
7,0.45,0.8333333333333334,0.8095238095238095,0.925,0.8888888888888888,0.7391634259698379,0.42430703624733473,0.5,0.5,0.25,0.7693218575229268,0.030612244897959183,0.5714285714285714,0.10344827586206896,0.5294117647058824,0.5116279069767442,0.9186046511627907,0.8271604938271605,0.47674418604651164,0.7142857142857143,0.6190476190476191,0.7590361445783133,0.8625,0.7738095238095238,0.7027027027027027,0.7901234567901234,0.527027027027027,0.8431372549019608,0.4266666666666667,0.8,0.9230769230769231,0.7142857142857143,0.9508196721311475,0.6666666666666666,0.8461538461538461,0.9642857142857143,0.4725274725274725,0.6233766233766234,0.65,0.9166666666666666,0.9655172413793104,1.0,0.9390243902439024,0.125,0.08888888888888889,0.12359550561797752,0.10227272727272728,0.0898876404494382
9,0.45,0.3333333333333333,0.30952380952380953,0.925,0.8611111111111112,0.7628758417907616,0.509594882729211,0.5,0.5,0.75,0.7626578222958114,0.10204081632653061,0.5714285714285714,0.3103448275862069,0.8352941176470589,0.9534883720930233,0.6046511627906976,0.9012345679012346,0.872093023255814,0.9230769230769231,0.8928571428571429,0.7469879518072289,0.7875,0.9285714285714286,0.972972972972973,0.9506172839506173,0.9324324324324325,0.9215686274509803,0.8933333333333333,0.7857142857142857,0.6,0.8441558441558441,0.639344262295082,0.896551724137931,0.6025641025641025,0.5595238095238095,0.967032967032967,0.8701298701298701,0.8375,0.9444444444444444,0.3563218390804598,0.40963855421686746,0.4024390243902439,0.13636363636363635,0.13333333333333333,0.07865168539325842,0.10227272727272728,0.12359550561797752
10,0.1,0.4166666666666667,0.35714285714285715,0.9,1.0,0.8861804040595656,0.3283582089552239,0.5,0.75,1.0,0.9820583666962276,0.061224489795918366,0.42857142857142855,0.3103448275862069,0.8235294117647058,0.9418604651162791,0.813953488372093,0.8765432098765432,0.872093023255814,0.945054945054945,0.8452380952380952,0.6746987951807228,0.725,0.9404761904761905,1.0,1.0,0.9459459459459459,0.8627450980392157,0.8266666666666667,0.8285714285714286,0.7076923076923077,0.8311688311688312,0.6885245901639344,0.8390804597701149,0.5897435897435898,0.35714285714285715,0.9340659340659341,0.8181818181818182,0.75,0.8472222222222222,0.3103448275862069,0.30120481927710846,0.2926829268292683,0.125,0.03333333333333333,0.056179775280898875,0.10227272727272728,0.033707865168539325
12,0.35,0.6944444444444444,0.7380952380952381,0.9,0.8888888888888888,0.7865882576116855,0.4669509594882729,0.5,0.75,0.5,0.8185331945847024,0.09183673469387756,0.7142857142857143,0.27586206896551724,0.788235294117647,1.0,0.9186046511627907,0.8641975308641975,0.9418604651162791,0.8241758241758241,0.8333333333333334,0.7349397590361446,0.8875,0.8690476190476191,0.6216216216216216,0.7037037037037037,0.6621621621621622,0.9019607843137255,0.6933333333333334,0.9285714285714286,0.7538461538461538,0.8701298701298701,0.819672131147541,0.9195402298850575,0.7948717948717948,0.32142857142857145,0.978021978021978,0.8311688311688312,1.0,0.9444444444444444,0.5632183908045977,0.3253012048192771,0.36585365853658536,0.06818181818181818,0.08888888888888889,0.10112359550561797,0.13636363636363635,0.0898876404494382
